Designator,Mid X,Mid Y,Rotation,Layer
A1,67.83,-44.41,90.0,top
D1,56.0,-75.0,45.0,bottom
D10,227.45,-75.0,45.0,bottom
D11,246.5,-75.0,45.0,bottom
D12,265.55,-75.0,45.0,bottom
D13,56.0,-94.05,45.0,bottom
D14,75.05,-94.05,45.0,bottom
D15,94.1,-94.05,45.0,bottom
D16,113.15,-94.05,45.0,bottom
D17,132.2,-94.05,45.0,bottom
D18,151.25,-94.05,45.0,bottom
D19,170.3,-94.05,45.0,bottom
D2,75.05,-75.0,45.0,bottom
D20,189.35,-94.05,45.0,bottom
D21,208.4,-94.05,45.0,bottom
D22,227.45,-94.05,45.0,bottom
D23,246.5,-94.05,45.0,bottom
D24,265.55,-94.05,45.0,bottom
D25,56.0,-113.1,45.0,bottom
D26,75.05,-113.1,45.0,bottom
D27,94.1,-113.1,45.0,bottom
D28,113.15,-113.1,45.0,bottom
D29,132.2,-113.1,45.0,bottom
D3,94.1,-75.0,45.0,bottom
D30,151.25,-113.1,45.0,bottom
D31,170.3,-113.1,45.0,bottom
D32,189.35,-113.1,45.0,bottom
D33,208.4,-113.1,45.0,bottom
D34,227.45,-113.1,45.0,bottom
D35,246.5,-113.1,45.0,bottom
D36,265.55,-113.1,45.0,bottom
D37,56.0,-132.15,45.0,bottom
D38,75.05,-132.15,45.0,bottom
D39,94.1,-132.15,45.0,bottom
D4,113.15,-75.0,45.0,bottom
D40,113.15,-132.15,45.0,bottom
D41,132.2,-132.15,45.0,bottom
D42,151.25,-132.15,45.0,bottom
D43,170.3,-132.15,45.0,bottom
D44,189.35,-132.15,45.0,bottom
D45,208.4,-132.15,45.0,bottom
D46,227.45,-132.15,45.0,bottom
D47,246.5,-132.15,45.0,bottom
D48,265.55,-132.15,45.0,bottom
D49,56.0,-151.2,45.0,bottom
D5,132.2,-75.0,45.0,bottom
D50,75.05,-151.2,45.0,bottom
D51,94.1,-151.2,45.0,bottom
D52,113.15,-151.2,45.0,bottom
D53,132.2,-151.2,45.0,bottom
D54,160.775,-151.2,45.0,bottom
D55,189.35,-151.2,45.0,bottom
D56,208.4,-151.2,45.0,bottom
D57,227.45,-151.2,45.0,bottom
D58,246.5,-151.2,45.0,bottom
D59,265.55,-151.2,45.0,bottom
D6,151.25,-75.0,45.0,bottom
D60,266.0,-34.1,0.0,top
D61,236.95,-34.1,0.0,top
D7,170.3,-75.0,45.0,bottom
D8,189.35,-75.0,45.0,bottom
D9,208.4,-75.0,45.0,bottom
LED1,51.65,-62.55,180.0,bottom
LED10,223.1,-62.55,180.0,bottom
LED11,242.15,-62.55,180.0,bottom
LED12,261.2,-62.55,180.0,bottom
LED13,51.65,-81.6,180.0,bottom
LED14,70.7,-81.6,180.0,bottom
LED15,89.75,-81.6,180.0,bottom
LED16,108.8,-81.6,180.0,bottom
LED17,127.85,-81.6,180.0,bottom
LED18,146.9,-81.6,180.0,bottom
LED19,165.95,-81.6,180.0,bottom
LED2,70.7,-62.55,180.0,bottom
LED20,185.0,-81.6,180.0,bottom
LED21,204.05,-81.6,180.0,bottom
LED22,223.1,-81.6,180.0,bottom
LED23,242.15,-81.6,180.0,bottom
LED24,261.2,-81.6,180.0,bottom
LED25,51.65,-100.65,180.0,bottom
LED26,70.7,-100.65,180.0,bottom
LED27,89.75,-100.65,180.0,bottom
LED28,108.8,-100.65,180.0,bottom
LED29,127.85,-100.65,180.0,bottom
LED3,89.75,-62.55,180.0,bottom
LED30,146.9,-100.65,180.0,bottom
LED31,165.95,-100.65,180.0,bottom
LED32,185.0,-100.65,180.0,bottom
LED33,204.05,-100.65,180.0,bottom
LED34,223.1,-100.65,180.0,bottom
LED35,242.15,-100.65,180.0,bottom
LED36,261.2,-100.65,180.0,bottom
LED37,51.65,-119.7,180.0,bottom
LED38,70.7,-119.7,180.0,bottom
LED39,89.75,-119.7,180.0,bottom
LED4,108.8,-62.55,180.0,bottom
LED40,108.8,-119.7,180.0,bottom
LED41,127.85,-119.7,180.0,bottom
LED42,146.9,-119.7,180.0,bottom
LED43,165.95,-119.7,180.0,bottom
LED44,185.0,-119.7,180.0,bottom
LED45,204.05,-119.7,180.0,bottom
LED46,223.1,-119.7,180.0,bottom
LED47,242.15,-119.7,180.0,bottom
LED48,261.2,-119.7,180.0,bottom
LED49,51.65,-138.75,180.0,bottom
LED5,127.85,-62.55,180.0,bottom
LED50,70.7,-138.75,180.0,bottom
LED51,89.75,-138.75,180.0,bottom
LED52,108.8,-138.75,180.0,bottom
LED53,127.85,-138.75,180.0,bottom
LED54,156.425,-138.75,180.0,bottom
LED55,185.0,-138.75,180.0,bottom
LED56,204.05,-138.75,180.0,bottom
LED57,223.1,-138.75,180.0,bottom
LED58,242.15,-138.75,180.0,bottom
LED59,261.2,-138.75,180.0,bottom
LED6,146.9,-62.55,180.0,bottom
LED7,165.95,-62.55,180.0,bottom
LED8,185.0,-62.55,180.0,bottom
LED9,204.05,-62.55,180.0,bottom
SW1,52.95,-69.95,0.0,top
SW10,224.4,-69.95,0.0,top
SW11,243.45,-69.95,0.0,top
SW12,262.5,-69.95,0.0,top
SW13,52.95,-89.0,0.0,top
SW14,72.0,-89.0,0.0,top
SW15,91.05,-89.0,0.0,top
SW16,110.1,-89.0,0.0,top
SW17,129.15,-89.0,0.0,top
SW18,148.2,-89.0,0.0,top
SW19,167.25,-89.0,0.0,top
SW2,72.0,-69.95,0.0,top
SW20,186.3,-89.0,0.0,top
SW21,205.35,-89.0,0.0,top
SW22,224.4,-89.0,0.0,top
SW23,243.45,-89.0,0.0,top
SW24,262.5,-89.0,0.0,top
SW25,52.95,-108.05,0.0,top
SW26,72.0,-108.05,0.0,top
SW27,91.05,-108.05,0.0,top
SW28,110.1,-108.05,0.0,top
SW29,129.15,-108.05,0.0,top
SW3,91.05,-69.95,0.0,top
SW30,148.2,-108.05,0.0,top
SW31,167.25,-108.05,0.0,top
SW32,186.3,-108.05,0.0,top
SW33,205.35,-108.05,0.0,top
SW34,224.4,-108.05,0.0,top
SW35,243.45,-108.05,0.0,top
SW36,262.5,-108.05,0.0,top
SW37,52.95,-127.1,0.0,top
SW38,72.0,-127.1,0.0,top
SW39,91.05,-127.1,0.0,top
SW4,110.1,-69.95,0.0,top
SW40,110.1,-127.1,0.0,top
SW41,129.15,-127.1,0.0,top
SW42,148.2,-127.1,0.0,top
SW43,167.25,-127.1,0.0,top
SW44,186.3,-127.1,0.0,top
SW45,205.35,-127.1,0.0,top
SW46,224.4,-127.1,0.0,top
SW47,243.45,-127.1,0.0,top
SW48,262.5,-127.1,0.0,top
SW49,52.95,-146.15,0.0,top
SW5,129.15,-69.95,0.0,top
SW50,72.0,-146.15,0.0,top
SW51,91.05,-146.15,0.0,top
SW52,110.1,-146.15,0.0,top
SW53,129.15,-146.15,0.0,top
SW54,157.725,-146.15,0.0,top
SW55,186.3,-146.15,0.0,top
SW56,205.35,-146.15,0.0,top
SW57,224.4,-146.15,0.0,top
SW58,243.45,-146.15,0.0,top
SW59,262.5,-146.15,0.0,top
SW6,148.2,-69.95,0.0,top
SW60,260.4,-43.75,0.0,top
SW61,231.35,-43.75,0.0,top
SW7,167.25,-69.95,0.0,top
SW8,186.3,-69.95,0.0,top
SW9,205.35,-69.95,0.0,top
U1,173.915,-42.915,0.0,top
